item_id,description_cy,description_eg,parent_id,sort_order,category_key,category_cy,category_eg,notes_cy,notes_eg,alternate_id
412,Arfon,Arfon,410,,Geog/Const,Etholaeth,Constituency,,,W09000002
413,Aberconwy,Aberconwy,410,,Geog/Const,Etholaeth,Constituency,,,W09000003
414,Gorllewin Clwyd,Clwyd West,410,,Geog/Const,Etholaeth,Constituency,,,W09000004
454,Blaenau Gwent,Blaenau Gwent,450,,Geog/Const,Etholaeth,Constituency,,,W09000038
440,Canol De Cymru,South Wales Central,596,,Geog/Const,Etholaeth,Constituency,,,W10000007
434,Castell-nedd,Neath,430,,Geog/Const,Etholaeth,Constituency,,,W09000021
435,Aberafan,Aberavon,430,,Geog/Const,Etholaeth,Constituency,,,W09000022
446,Pontypridd,Pontypridd,440,,Geog/Const,Etholaeth,Constituency,,,W09000046
437,Ogwr,Ogmore,430,,Geog/Const,Etholaeth,Constituency,,,W09000045
441,Bro Morgannwg,Vale of Glamorgan,440,,Geog/Const,Etholaeth,Constituency,,,W09000047
442,De Caerdydd a Phenarth,Cardiff South and Penarth,440,,Geog/Const,Etholaeth,Constituency,,,W09000043
443,Canol Caerdydd,Cardiff Central,440,,Geog/Const,Etholaeth,Constituency,,,W09000031
444,Gogledd Caerdydd,Cardiff North,440,,Geog/Const,Etholaeth,Constituency,,,W09000042
419,De Clwyd,Clwyd South,410,,Geog/Const,Etholaeth,Constituency,,,W09000009
415,Dyffryn Clwyd,Vale of Clwyd,410,,Geog/Const,Etholaeth,Constituency,,,W09000005
436,Pen-y-bont ar Ogwr,Bridgend,430,,Geog/Const,Etholaeth,Constituency,,,W09000023
417,Alun a Glannau Dyfrdwy,Alyn and Deeside,410,,Geog/Const,Etholaeth,Constituency,,,W09000007
427,Dwyrain Caerfyrddin a Dinefwr,Carmarthen East and Dinefwr,420,,Geog/Const,Etholaeth,Constituency,,,W09000015
418,Wrecsam,Wrexham,410,,Geog/Const,Etholaeth,Constituency,,,W09000008
420,Canolbarth a Gorllewin Cymru,Mid and West Wales,596,,Geog/Const,Etholaeth,Constituency,,,W10000006
421,Dwyfor Meirionnydd,Dwyfor Meirionnydd,420,,Geog/Const,Etholaeth,Constituency,,,W09000010
422,Sir Drefaldwyn,Montgomeryshire,420,,Geog/Const,Etholaeth,Constituency,,,W09000011
423,Brycheiniog a Sir Faesyfed,Brecon and Radnorshire,420,,Geog/Const,Etholaeth,Constituency,,,W09000041
424,Ceredigion,Ceredigion,420,,Geog/Const,Etholaeth,Constituency,,,W09000012
426,Gorllewin Caerfyrddin a De Sir Benfro,Carmarthen West and South Pembrokeshire,420,,Geog/Const,Etholaeth,Constituency,,,W09000016
428,Llanelli,Llanelli,420,,Geog/Const,Etholaeth,Constituency,,,W09000017
430,Gorllewin De Cymru,South Wales West,596,,Geog/Const,Etholaeth,Constituency,,,W10000009
431,Gwyr,Gower,430,,Geog/Const,Etholaeth,Constituency,,,W09000018
432,Gorllewin Abertawe,Swansea West,430,,Geog/Const,Etholaeth,Constituency,,,W09000019
433,Dwyrain Abertawe,Swansea East,430,,Geog/Const,Etholaeth,Constituency,,,W09000020
416,Delyn,Delyn,410,,Geog/Const,Etholaeth,Constituency,,,W09000006
425,Preseli Sir Benfro,Preseli Pembrokeshire,420,,Geog/Const,Etholaeth,Constituency,,,W09000014
582,Parc Cenedlaethol Bannau Brycheiniog,Brecon Beacons National Park,596,,Geog/NatPark,Parc Cenedlaethol,National Park,,,W18000001
584,Parc Cenedlaethol Afordir Penfro,Pembrokeshire Coast National Park,596,,Geog/NatPark,Parc Cenedlaethol,National Park,,,W18000002
586,Parc Cenedlaethol Eryri,Snowdonia National Park,596,,Geog/NatPark,Parc Cenedlaethol,National Park,,,W18000003
562,Heddlu Dyfed Powys,Dyfed Powys Police,596,,Geog/PolAuth,Awdurdod yr Heddlu,Police Authority,,,W15000004
564,Heddlu Gwent,Gwent Police,596,,Geog/PolAuth,Awdurdod yr Heddlu,Police Authority,,,W15000002
566,Heddlu Gogledd Cymru,North Wales Police,596,,Geog/PolAuth,Awdurdod yr Heddlu,Police Authority,,,W15000001
568,Heddlu De Cymru,South Wales Police,596,,Geog/PolAuth,Awdurdod yr Heddlu,Police Authority,,,W15000003
572,Gwasanaeth tân ac achub Canolbarth a Gorllewin Cymru,Mid and West Wales Fire and Rescue Service,596,,Geog/FireAuth,Awdurdod Tân,Fire Authority,,,W25000002
574,Gwasanaeth tân ac achub Gogledd Cymru,North Wales Fire and Rescue Service,596,,Geog/FireAuth,Awdurdod Tân,Fire Authority,,,W25000001
576,Gwasanaeth tân ac achub de Cymru,South Wales Fire and Rescue Service,596,,Geog/FireAuth,Awdurdod Tân,Fire Authority,,,W25000003
W33000183,Rhondda Cynon Taf - Rhondda Fawr Uchaf,Rhondda Cynon Taf - Upper Rhondda Fawr,W34000003,,Geog/CFA,Ardal Cymunedau yn Gyntaf,Communities First Area,,,
W33000191,Caerffili - Cwm Rhymni Uchaf,Caerphilly - Upper Rhymney Valley,W34000003,,Geog/CFA,Ardal Cymunedau yn Gyntaf,Communities First Area,,,
W33000175,Pen-y-bont ar Ogwr - Uchaf,Bridgend - Upper,W34000003,,Geog/CFA,Ardal Cymunedau yn Gyntaf,Communities First Area,,,
W33000176,Bro Morgannwg,Vale of Glamorgan,W34000003,,Geog/CFA,Ardal Cymunedau yn Gyntaf,Communities First Area,,,
W33000177,Rhondda Cynon Taf - Cynon Isaf,Rhondda Cynon Taf - Lower Cynon,W34000003,,Geog/CFA,Ardal Cymunedau yn Gyntaf,Communities First Area,,,
W33000178,Rhondda Cynon Taf - Pontypridd,Rhondda Cynon Taf - Pontypridd,W34000003,,Geog/CFA,Ardal Cymunedau yn Gyntaf,Communities First Area,,,
W33000179,Rhondda Cynon Taf - Y Porth,Rhondda Cynon Taf - Porth,W34000003,,Geog/CFA,Ardal Cymunedau yn Gyntaf,Communities First Area,,,
W33000180,Rhondda Cynon Taf - Gorllewin Taf,Rhondda Cynon Taf - Taf West,W34000003,,Geog/CFA,Ardal Cymunedau yn Gyntaf,Communities First Area,,,
W33000173,Pen-y-bont ar Ogwr - Isaf,Bridgend - Lower,W34000003,,Geog/CFA,Ardal Cymunedau yn Gyntaf,Communities First Area,,,
W33000182,Rhondda Cynon Taf - Rhondda Fach Uchaf,Rhondda Cynon Taf - Upper Rhondda Fach,W34000003,,Geog/CFA,Ardal Cymunedau yn Gyntaf,Communities First Area,,,
W33000172,Castell-nedd Port Talbot - Cymoedd Gorllewinol,Neath Port Talbot - Western Valleys,W34000003,,Geog/CFA,Ardal Cymunedau yn Gyntaf,Communities First Area,,,
W33000184,Rhondda Cynon Taf - Rhondda Ganol,Rhonnda Cynon Taf - Mid Rhondda,W34000003,,Geog/CFA,Ardal Cymunedau yn Gyntaf,Communities First Area,,,
W33000185,Merthyr Tudful - Canol,Merthyr Tydfil - Central,W34000003,,Geog/CFA,Ardal Cymunedau yn Gyntaf,Communities First Area,,,
W33000186,Merthyr Tudful - Gogledd,Merthyr Tydfil - Northern,W34000003,,Geog/CFA,Ardal Cymunedau yn Gyntaf,Communities First Area,,,
W33000187,Merthyr Tudful - De,Merthyr Tydfil - Southern,W34000003,,Geog/CFA,Ardal Cymunedau yn Gyntaf,Communities First Area,,,
W33000188,Caerffili - Basn,Caerphilly - Basin,W34000003,,Geog/CFA,Ardal Cymunedau yn Gyntaf,Communities First Area,,,
W33000189,Caerffili - Cymoedd Canol Dwyrain,Caerphilly - Mid Valleys East,W34000003,,Geog/CFA,Ardal Cymunedau yn Gyntaf,Communities First Area,,,
W33000154,Ynys Mon,Isle of Anglesey,W34000003,,Geog/CFA,Ardal Cymunedau yn Gyntaf,Communities First Area,,,
